1850,13119,0.8764112499,297,3011,False,30,0,0.0000000000,0.0000000000
181,1126,0.8615149197,469,388,False,11,0,0.0000000000,0.0000000000
7,2096,0.9966714218,614,1386,False,30,0,0.0000000000,0.0000000000
130,129262,0.9989953011,1086,4249,False,12,0,0.0000000000,0.0000000000
301,339,0.5296875000,23,211,False,15,0,0.0000000000,0.0000000000
165,642,0.7955390335,233,1682,False,22,0,0.0000000000,0.0000000000
460,2426,0.8406098406,823,410,False,14,0,0.0000000000,0.0000000000
254,5550,0.9562370779,234,266,False,10,0,0.0000000000,0.0000000000
602104,1743101,0.7432616765,6883,3619,False,16,0,0.0000000000,0.0000000000
391,2524,0.8658662093,373,551,False,19,0,0.0000000000,0.0000000000
19,1108,0.9831410825,0,1,False,1,0,0.0000000000,0.0000000000
1,4434,0.9997745209,0,1,False,0,0,0.0000000000,0.0000000000
71,31,0.3039215686,0,18,False,18,0,0.0000000000,0.0000000000
94,11,0.1047619048,2,4,False,4,0,0.0000000000,0.0000000000
4943,5707,0.5358685446,715,372,False,10,0,0.0000000000,0.0000000000
93,621,0.8697478992,4,5,False,2,0,0.0000000000,0.0000000000
60,2674,0.9780541331,3836,5847,False,14,0,0.0000000000,0.0000000000
203,1810,0.8991554893,52,1991,False,28,0,0.0000000000,0.0000000000
37,519,0.9334532374,1755,735,False,10,0,0.0000000000,0.0000000000
444,434,0.4943052392,158,442,False,19,0,0.0000000000,0.0000000000
596,458,0.4345351044,352,645,False,21,0,0.0000000000,0.0000000000
372,345,0.4811715481,202,420,False,21,0,0.0000000000,0.0000000000
96,143,0.5983263598,54,112,False,11,0,0.0000000000,0.0000000000
655,258,0.2825848850,79,411,False,21,0,0.0000000000,0.0000000000
95,80,0.4571428571,0,35,False,17,0,0.0000000000,0.0000000000
110,41,0.2715231788,34,52,False,23,0,0.0000000000,0.0000000000
1850,13121,0.8764277603,297,3011,False,30,0,1.0000000000,0.0000000000
181,1127,0.8616207951,469,388,False,11,0,1.0000000000,0.0000000000
7,2096,0.9966714218,614,1396,False,30,0,1.0000000000,0.0000000000
130,129262,0.9989953011,1086,4249,False,12,0,1.0000000000,0.0000000000
301,339,0.5296875000,23,211,False,15,0,1.0000000000,0.0000000000
165,642,0.7955390335,233,1682,False,22,0,1.0000000000,0.0000000000
460,2430,0.8408304498,823,410,False,14,0,1.0000000000,0.0000000000
254,5549,0.9562295364,234,266,False,10,0,1.0000000000,0.0000000000
602098,1743116,0.7432652201,6883,3619,False,16,0,1.0000000000,0.0000000000
391,2532,0.8662333219,373,551,False,19,0,1.0000000000,0.0000000000
19,1107,0.9831261101,0,1,False,1,0,1.0000000000,0.0000000000
1,4440,0.9997748255,0,1,False,0,0,1.0000000000,0.0000000000
71,31,0.3039215686,0,18,False,18,0,1.0000000000,0.0000000000
94,11,0.1047619048,2,4,False,4,0,1.0000000000,0.0000000000
4943,5707,0.5358685446,715,372,False,10,0,1.0000000000,0.0000000000
93,621,0.8697478992,4,5,False,2,0,1.0000000000,0.0000000000
60,2674,0.9780541331,3836,5847,False,14,0,1.0000000000,0.0000000000
203,1810,0.8991554893,52,1991,False,28,0,1.0000000000,0.0000000000
